Sensors,Lat,Long,Cluster
GAD02_Amstd_29_0,52.37718,4.89505,Center
GAD02_Amstd_30_0,52.37688,4.89498,Center
GAD02_Amstd_31_0,52.38037,4.9022665,Center
GAD02_Amstd_31_2,52.38037,4.9022665,Center
GAD02_Amstd_33_0,52.3919754,4.87650251,Center
GAD02_Amstd_33_2,52.3919754,4.87650251,Center
GAD02_Amstd_34_0,52.38037,4.9022665,Center
GAD02_Amstd_34_2,52.38037,4.9022665,Center
GEO0B_R_RWSTI358610,52.384421,4.815418,West
GEO0B_R_RWSTI358742,52.34388,4.84054,West
GEO0B_R_RWSTI358750,52.34827,4.84158,West
GEO0B_R_RWSTI358751,52.34626,4.84045,West
GEO0B_R_RWSTI358752,52.35572,4.84271,West
GEO0B_R_RWSTI358753,52.36111,4.84263,West
GEO0B_R_RWSTI358754,52.35424,4.84246,West
GEO0B_R_RWSTI358757,52.36015,4.8423,West
GEO0B_R_RWSTI358762,52.36775,4.84237,West
GEO0B_R_RWSTI358763,52.37243,4.84131,West
GEO0B_R_RWSTI358764,52.37425,4.84287,West
GEO0B_R_RWSTI358766,52.37182,4.84155,West
GEO0B_R_RWSTI358831,52.405729,4.854677,North
GEO0B_R_RWSTI358897,52.422322,4.873084,North
GEO0B_R_RWSTI358957,52.3389,4.88846,South
GEO0B_R_RWSTI358958,52.42482,4.88963,North
GEO0B_R_RWSTI358960,52.42516,4.88158,North
GEO0B_R_RWSTI358968,52.33489,4.89332,South
GEO0B_R_RWSTI359033,52.327204,4.913249,South
GEO0B_R_RWSTI359135,52.33582,4.94131,South
GEO0B_R_RWSTI359136,52.33793,4.93912,South
GEO0B_R_RWSTI359199,52.336026,4.942354,South
GEO0B_R_RWSTI359200,52.33799,4.93946,South
GEO0B_R_RWSTI359242,52.33912,4.95037,South
GEO0B_R_RWSTI359244,52.34187,4.9543,South
GEO0B_R_RWSTI359249,52.34336,4.95512,South
GEO0B_R_RWSTI359335,52.35304,4.96386,East
GEO0B_R_RWSTI4341,52.33944,4.841948,West
GEO0B_R_RWSTI4348,52.375884,4.843188,West
GEO0B_R_RWSTI4479,52.405868,4.854584,North
GEO0B_Z_RWSTIN284,52.384328,4.820107,West
GEO0K_K_RWSTI358765,52.377203,4.844198,West
GEO0K_K_RWSTI358770,52.37477,4.842335,West
GEO0K_K_RWSTI358800,52.38401,4.8455,West
GEO0K_K_RWSTI358801,52.380643,4.845148,West
GEO0K_K_RWSTI358802,52.383816,4.843906,West
GEO0K_K_RWSTI358830,52.403585,4.852118,North
