Sensors,Lat,Long,Cluster
GAD02_Amstd_29_0,52.377180000000003,4.895050000000000,Center
GAD02_Amstd_30_0,52.376939999999998,4.894936000000000,Center
GAD02_Amstd_31_0,52.379665400000000,4.901153000000000,Center
GAD02_Amstd_31_2,52.379429999999999,4.901309000000000,Center
GAD02_Amstd_33_0,52.392566700000003,4.877721000000000,Center
GAD02_Amstd_33_2,52.392635300000002,4.877345000000000,Center
GAD02_Amstd_34_0,52.379215199999997,4.911267000000000,Center
GAD02_Amstd_34_2,52.379849999999998,4.910917000000000,Center
GEO0B_R_0_RWSTI358742,52.343597000000003,4.840554000000000,West
GEO0B_R_0_RWSTI359335,52.353031000000001,4.963874000000000,East
GEO0B_R_1_RWSTI358742,52.343601999999997,4.840625000000000,West
GEO0B_R_1_RWSTI359335,52.353000000000002,4.963963000000000,East
GEO0B_R_RWSTI358610,52.384421000000003,4.815418000000000,West
GEO0B_R_RWSTI358750,52.348269999999999,4.841580000000000,West
GEO0B_R_RWSTI358751,52.346556999999997,4.840329000000000,West
GEO0B_R_RWSTI358752,52.355719999999998,4.842710000000000,West
GEO0B_R_RWSTI358753,52.361109999999996,4.842630000000000,West
GEO0B_R_RWSTI358754,52.355570000000000,4.842229000000000,West
GEO0B_R_RWSTI358757,52.360149999999997,4.842300000000000,West
GEO0B_R_RWSTI358762,52.367750000000001,4.842370000000000,West
GEO0B_R_RWSTI358763,52.373891000000000,4.841828000000000,West
GEO0B_R_RWSTI358764,52.374250000000004,4.842870000000000,West
GEO0B_R_RWSTI358766,52.371820000000000,4.841550000000000,West
GEO0B_R_RWSTI358831,52.405729000000001,4.854677000000000,North
GEO0B_R_RWSTI358869,52.434310000000004,4.864300000000000,North
GEO0B_R_RWSTI358897,52.421615000000003,4.871543000000000,North
GEO0B_R_RWSTI358957,52.338973000000003,4.888443000000000,South
GEO0B_R_RWSTI358958,52.424542000000002,4.886215000000000,North
GEO0B_R_RWSTI358960,52.425356999999998,4.887333000000000,North
GEO0B_R_RWSTI358968,52.334094000000000,4.892539000000000,South
GEO0B_R_RWSTI359033,52.327204000000002,4.913249000000000,South
GEO0B_R_RWSTI359135,52.335819999999998,4.941310000000000,South
GEO0B_R_RWSTI359136,52.337947000000000,4.938981000000000,South
GEO0B_R_RWSTI359199,52.336039999999997,4.942449000000000,South
GEO0B_R_RWSTI359200,52.337674999999997,4.939347000000000,South
GEO0B_R_RWSTI359242,52.339120000000001,4.950370000000000,East
GEO0B_R_RWSTI359244,52.341078000000003,4.953674000000000,East
GEO0B_R_RWSTI359249,52.343460000000000,4.954779000000000,East
GEO0B_R_RWSTI4341,52.339440000000003,4.841948000000000,West
GEO0B_R_RWSTI4348,52.375883999999999,4.843188000000000,West
GEO0B_R_RWSTI4479,52.405867999999998,4.854584000000000,North
GEO0B_Z_RWSTIN284,52.384327999999996,4.820107000000000,West
GEO0K_K_1_RWSTI358971,52.425240000000002,4.887340000000000,North
GEO0K_K_RWSTI358765,52.374858000000003,4.843095000000000,West
GEO0K_K_RWSTI358770,52.374988000000002,4.842519000000000,West
GEO0K_K_RWSTI358800,52.384010000000004,4.845500000000000,West
GEO0K_K_RWSTI358801,52.380642999999999,4.845148000000000,West
GEO0K_K_RWSTI358802,52.383816000000003,4.843906000000000,West
GEO0K_K_RWSTI358815,52.402824000000003,4.851962000000000,North
GEO0K_K_RWSTI358830,52.402993000000002,4.851256000000000,North
GEO0K_K_RWSTI358835,52.402976000000002,4.851469000000000,North
GEO0K_K_RWSTI358937,52.423122999999997,4.878474000000000,North
GEO0K_K_RWSTI358939,52.425060000000002,4.881410000000000,North
GEO0K_K_RWSTI358971,52.425356999999998,4.887333000000000,North
GEO0K_K_RWSTI359023,52.330212000000003,4.913830000000000,South
GEO0K_K_RWSTI359026,52.328198000000000,4.912470000000000,South
GEO0K_K_RWSTI359330,52.351070000000000,4.960785000000000,East
GEO0K_R_RWSTI4353,52.339015000000003,4.826584000000000,West
GZS01_ZND_TI1004-A,52.427005000000001,4.831244000000000,North
GZS01_ZND_TI1004-B,52.429394000000002,4.839797000000000,North
GZS01_ZND_TI1008-A,52.428556999999998,4.826266000000000,North
GZS01_ZND_TI1008-B,52.428598000000001,4.826418000000000,North
GZS01_ZND_TI1010-A,52.426833999999999,4.819956000000000,North
GZS01_ZND_TI1010-B,52.426831000000000,4.819947000000000,North
GZS01_ZND_TI1011-A,52.432727000000000,4.813332000000000,North
GZS01_ZND_TI1011-B,52.432778999999996,4.813125000000000,North
PNH02_PNHTI543,52.424503999999999,4.951077000000000,North
PNH02_PNHTI543r,52.424503999999999,4.951077000000000,North
PNH02_PNHTI576,52.424019999999999,4.963830000000000,North
PNH02_PNHTI576r,52.422469999999997,4.961677000000000,North
PNH02_PNHTI594,52.430985270000001,4.855583280000000,North
PNH02_PNHTI594r,52.430985000000000,4.855583000000000,North
PNH02_PNHTI595,52.432496000000000,4.874138000000000,North
PNH02_PNHTI595r,52.432496000000000,4.874138000000000,North
PNH02_TI881L,52.413730000000001,4.944980000000000,North
PNH02_TI881R,52.413730000000001,4.944980000000000,North
RWS01_MONIBAS_0010vwa0057ra,52.345419999999997,4.977080000000000,East
RWS01_MONIBAS_0010vwa0066ra,52.339030000000001,4.986300000000000,East
RWS01_MONIBAS_0010vwc0033ra,52.352319999999999,4.963190000000000,East
RWS01_MONIBAS_0010vwd0058ra,52.344940000000001,4.979010000000000,East
RWS01_MONIBAS_0010vwd0066ra,52.339300000000001,4.986770000000000,East
RWS01_MONIBAS_0010vwf0047ra,52.350619999999999,4.965560000000000,East
RWS01_MONIBAS_0010vwp0080ra,52.332839999999997,5.004020000000000,East
RWS01_MONIBAS_0010vwp0083ra,52.332520000000002,5.007030000000000,East
RWS01_MONIBAS_0010vwq0080ra,52.332839999999997,5.004020000000000,East
RWS01_MONIBAS_0010vwq0083ra,52.332520000000002,5.007030000000000,East
RWS01_MONIBAS_0011hrl0033ra,52.343780000000002,4.955330000000000,East
RWS01_MONIBAS_0011hrl0037ra,52.346950000000000,4.958380000000000,East
RWS01_MONIBAS_0011hrl0041ra,52.350130000000000,4.960840000000000,East
RWS01_MONIBAS_0011hrl0041rb,52.350130000000000,4.960840000000000,East
RWS01_MONIBAS_0011hrl0047ra,52.351550000000003,4.965940000000000,East
RWS01_MONIBAS_0011hrl0051ra,52.348840000000003,4.969880000000000,East
RWS01_MONIBAS_0011hrl0051rb,52.348840000000003,4.969880000000000,East
RWS01_MONIBAS_0011hrl0054ra,52.347389999999997,4.973580000000000,East
RWS01_MONIBAS_0011hrl0057ra,52.345669999999998,4.977450000000000,East
RWS01_MONIBAS_0011hrl0061ra,52.343200000000003,4.981510000000000,East
RWS01_MONIBAS_0011hrl0066ra,52.339250000000000,4.986550000000000,East
RWS01_MONIBAS_0011hrr0040ra,52.352319999999999,4.963190000000000,East
RWS01_MONIBAS_0011hrr0046ra,52.350160000000002,4.964080000000000,East
RWS01_MONIBAS_0011hrr0052ra,52.347769999999997,4.971940000000000,East
RWS01_MONIBAS_0011hrr0055ra,52.346719999999998,4.974490000000000,East
RWS01_MONIBAS_0011hrr0061ra,52.343029999999999,4.981340000000000,East
RWS01_MONIBAS_0011hrr0064ra,52.340560000000004,4.984410000000000,East
RWS01_MONIBAS_0020vwf0309ra,52.328870000000002,4.918990000000000,South
RWS01_MONIBAS_0020vwh0304ra,52.329970000000003,4.906140000000000,South
RWS01_MONIBAS_0020vwh0307ra,52.330199999999998,4.911310000000000,South
RWS01_MONIBAS_0021hrr0308ra,52.330710000000003,4.912760000000000,South
RWS01_MONIBAS_0021hrr0310ra,52.328600000000002,4.913100000000000,South
RWS01_MONIBAS_0021hrr0310rb,52.328600000000002,4.913100000000000,South
RWS01_MONIBAS_0021hrr0313ra,52.326619999999998,4.913430000000000,South
RWS01_MONIBAS_0040vwa0019ra,52.338870000000000,4.817920000000000,West
RWS01_MONIBAS_0040vwb0027ra,52.336150000000004,4.807500000000000,West
RWS01_MONIBAS_0040vwc0024ra,52.336979999999997,4.811110000000000,West
RWS01_MONIBAS_0040vwd0020ra,52.338079999999998,4.816980000000000,West
RWS01_MONIBAS_0040vwh0003ra,52.337949999999999,4.840960000000000,West
RWS01_MONIBAS_0040vwh0007ra,52.337580000000003,4.835810000000000,West
RWS01_MONIBAS_0040vwh0007rb,52.337820000000001,4.834760000000000,West
RWS01_MONIBAS_0041hrl0004ra,52.337580000000003,4.839540000000000,West
RWS01_MONIBAS_0041hrl0007ra,52.338149999999999,4.835090000000000,West
RWS01_MONIBAS_0041hrl0011ra,52.338220000000000,4.829390000000000,West
RWS01_MONIBAS_0041hrl0011rb,52.338220000000000,4.829390000000000,West
RWS01_MONIBAS_0041hrl0015ra,52.338279999999997,4.823580000000000,West
RWS01_MONIBAS_0041hrl0015rb,52.338279999999997,4.823580000000000,West
RWS01_MONIBAS_0041hrl0020ra,52.338290000000001,4.817010000000000,West
RWS01_MONIBAS_0041hrl0024ra,52.337150000000001,4.811010000000000,West
RWS01_MONIBAS_0041hrl0027ra,52.335189999999997,4.807090000000000,West
RWS01_MONIBAS_0041hrl0030ra,52.333460000000002,4.804240000000000,West
RWS01_MONIBAS_0041hrr0002ra,52.338509999999999,4.841910000000000,West
RWS01_MONIBAS_0041hrr0005ra,52.338859999999997,4.838600000000000,West
RWS01_MONIBAS_0041hrr0010ra,52.338859999999997,4.830900000000000,West
RWS01_MONIBAS_0041hrr0015ra,52.338870000000000,4.823710000000000,West
RWS01_MONIBAS_0041hrr0018ra,52.338799999999999,4.820070000000000,West
RWS01_MONIBAS_0041hrr0020ra,52.338659999999997,4.816150000000000,West
RWS01_MONIBAS_0041hrr0023ra,52.337850000000003,4.811630000000000,West
RWS01_MONIBAS_0041hrr0027ra,52.336129999999997,4.807520000000000,West
RWS01_MONIBAS_0041hrr0030ra,52.334170000000000,4.804340000000000,West
RWS01_MONIBAS_0051hrl0147ra,52.393459999999997,4.798510000000000,North
RWS01_MONIBAS_0051hrl0152ra,52.393129999999999,4.805750000000000,North
RWS01_MONIBAS_0051hrl0157ra,52.392209999999999,4.812350000000000,North
RWS01_MONIBAS_0051hrl0162ra,52.391930000000002,4.820050000000000,North
RWS01_MONIBAS_0051hrl0167ra,52.391939999999998,4.827840000000000,North
RWS01_MONIBAS_0051hrl0173ra,52.392290000000003,4.836040000000000,North
RWS01_MONIBAS_0051hrl0178ra,52.395240000000001,4.842290000000000,North
RWS01_MONIBAS_0051hrl0184ra,52.399790000000003,4.847640000000000,North
RWS01_MONIBAS_0051hrl0187ra,52.401649999999997,4.849880000000000,North
RWS01_MONIBAS_0051hrl0187rb,52.401649999999997,4.849880000000000,North
RWS01_MONIBAS_0051hrl0189ra,52.402970000000003,4.851430000000000,North
RWS01_MONIBAS_0051hrr0147ra,52.393360000000001,4.798800000000000,North
RWS01_MONIBAS_0051hrr0152ra,52.393009999999997,4.806020000000000,North
RWS01_MONIBAS_0051hrr0157ra,52.392080000000000,4.812590000000000,North
RWS01_MONIBAS_0051hrr0162ra,52.391840000000002,4.820110000000000,West
RWS01_MONIBAS_0051hrr0167ra,52.391849999999998,4.827770000000000,West
RWS01_MONIBAS_0051hrr0173ra,52.392139999999998,4.835840000000000,North
RWS01_MONIBAS_0051hrr0178ra,52.394970000000001,4.841950000000000,North
RWS01_MONIBAS_0051hrr0185ra,52.399650000000001,4.848030000000000,North
RWS01_MONIBAS_0051hrr0187ra,52.401220000000002,4.849930000000000,North
RWS01_MONIBAS_0080vwd0016ra,52.427549999999997,4.872010000000000,North
RWS01_MONIBAS_0080vwf0010ra,52.423369999999998,4.874340000000000,North
RWS01_MONIBAS_0080vwf0016ra,52.427639999999997,4.872190000000000,North
RWS01_MONIBAS_0080vwf0018ra,52.429000000000002,4.870780000000000,North
RWS01_MONIBAS_0080vwq0010ra,52.422890000000002,4.874450000000000,North
RWS01_MONIBAS_0081hrl0006ra,52.424190000000003,4.882390000000000,North
RWS01_MONIBAS_0081hrl0013ra,52.426029999999997,4.874290000000000,North
RWS01_MONIBAS_0081hrl0021ra,52.431600000000003,4.868020000000000,North
RWS01_MONIBAS_0081hrl0021rb,52.431600000000003,4.868020000000000,North
RWS01_MONIBAS_0081hrr0008ra,52.422089999999997,4.875010000000000,North
RWS01_MONIBAS_0081hrr0013ra,52.425960000000003,4.875810000000000,North
RWS01_MONIBAS_0081hrr0019ra,52.430000000000000,4.870430000000000,North
RWS01_MONIBAS_0081hrr0021ra,52.431699999999999,4.868510000000000,North
RWS01_MONIBAS_0100vwa0036ra,52.409660000000002,4.932030000000000,North
RWS01_MONIBAS_0100vwa0138ra,52.336730000000003,4.940300000000000,South
RWS01_MONIBAS_0100vwa0146ra,52.332889999999999,4.929620000000000,South
RWS01_MONIBAS_0100vwa0172ra,52.334490000000002,4.896440000000000,South
RWS01_MONIBAS_0100vwa0195ra,52.338560000000001,4.862860000000000,South
RWS01_MONIBAS_0100vwb0129ra,52.340170000000001,4.951250000000000,East
RWS01_MONIBAS_0100vwb0140ra,52.335740000000001,4.937850000000000,South
RWS01_MONIBAS_0100vwb0147ra,52.332599999999999,4.927890000000000,South
RWS01_MONIBAS_0100vwb0183ra,52.335050000000003,4.894460000000000,South
RWS01_MONIBAS_0100vwb0199ra,52.338929999999998,4.860360000000000,South
RWS01_MONIBAS_0100vwc0131ra,52.338850000000001,4.949560000000000,East
RWS01_MONIBAS_0100vwc0140ra,52.335439999999998,4.938200000000000,South
RWS01_MONIBAS_0100vwc0147ra,52.331780000000002,4.928730000000000,South
RWS01_MONIBAS_0100vwc0175ra,52.335050000000003,4.894460000000000,South
RWS01_MONIBAS_0100vwc0199ra,52.337780000000002,4.859040000000000,South
RWS01_MONIBAS_0100vwd0127ra,52.341369999999998,4.953930000000000,East
RWS01_MONIBAS_0100vwd0137ra,52.336599999999997,4.941190000000000,South
RWS01_MONIBAS_0100vwd0146ra,52.332670000000000,4.930250000000000,South
RWS01_MONIBAS_0100vwd0173ra,52.333810000000000,4.895460000000000,South
RWS01_MONIBAS_0100vwn0290ra,52.406649999999999,4.855600000000000,North
RWS01_MONIBAS_0100vwn0293ra,52.408980000000000,4.858720000000000,North
RWS01_MONIBAS_0100vwn0296ra,52.411169999999998,4.860940000000000,North
RWS01_MONIBAS_0100vwn0297ra,52.412419999999997,4.862120000000000,North
RWS01_MONIBAS_0100vwn0299ra,52.413400000000003,4.863040000000000,North
RWS01_MONIBAS_0100vwn0300ra,52.414690000000000,4.864250000000000,North
RWS01_MONIBAS_0100vwn0300rb,52.414020000000001,4.863620000000000,North
RWS01_MONIBAS_0100vwn0302ra,52.415900000000001,4.865410000000000,North
RWS01_MONIBAS_0100vwn0304ra,52.417169999999999,4.866630000000000,North
RWS01_MONIBAS_0100vwn0307ra,52.419469999999997,4.868810000000000,North
RWS01_MONIBAS_0100vwn0308ra,52.420639999999999,4.870140000000000,North
RWS01_MONIBAS_0100vwp0113ra,52.352829999999997,4.962880000000000,East
RWS01_MONIBAS_0100vwp0276ra,52.392150000000001,4.844180000000000,North
RWS01_MONIBAS_0100vwp0281ra,52.397550000000003,4.845500000000000,North
RWS01_MONIBAS_0100vwp0285ra,52.404460000000000,4.853470000000000,North
RWS01_MONIBAS_0100vwp0287ra,52.404460000000000,4.853470000000000,North
RWS01_MONIBAS_0100vwp0290ra,52.406970000000001,4.856700000000000,North
RWS01_MONIBAS_0100vwp0294ra,52.409709999999997,4.860080000000000,North
RWS01_MONIBAS_0100vwp0296ra,52.411310000000000,4.861650000000000,North
RWS01_MONIBAS_0100vwp0298ra,52.412450000000000,4.862770000000000,North
RWS01_MONIBAS_0100vwp0299ra,52.413209999999999,4.863490000000000,North
RWS01_MONIBAS_0100vwp0300ra,52.414009999999998,4.864260000000000,North
RWS01_MONIBAS_0100vwp0301ra,52.414569999999998,4.864810000000000,North
RWS01_MONIBAS_0100vwp0302ra,52.415370000000003,4.865580000000000,North
RWS01_MONIBAS_0100vwp0303ra,52.416130000000003,4.866310000000000,North
RWS01_MONIBAS_0100vwp0307ra,52.419029999999999,4.869130000000000,North
RWS01_MONIBAS_0100vwp0308ra,52.420090000000002,4.870290000000000,North
RWS01_MONIBAS_0100vwp0312ra,52.421939999999999,4.874150000000000,North
RWS01_MONIBAS_0100vwp0317ra,52.426130000000001,4.874740000000000,North
RWS01_MONIBAS_0100vwp0321ra,52.429540000000003,4.870650000000000,North
RWS01_MONIBAS_0100vwp0324ra,52.431249999999999,4.868760000000000,North
RWS01_MONIBAS_0100vwq0276ra,52.397550000000003,4.845500000000000,North
RWS01_MONIBAS_0100vwq0281ra,52.404460000000000,4.853470000000000,North
RWS01_MONIBAS_0100vwq0285ra,52.404460000000000,4.853470000000000,North
RWS01_MONIBAS_0100vwq0290ra,52.406970000000001,4.856700000000000,North
RWS01_MONIBAS_0100vwq0294ra,52.409709999999997,4.860080000000000,North
RWS01_MONIBAS_0100vwq0296ra,52.411310000000000,4.861650000000000,North
RWS01_MONIBAS_0100vwq0298ra,52.412450000000000,4.862770000000000,North
RWS01_MONIBAS_0100vwq0299ra,52.413209999999999,4.863490000000000,North
RWS01_MONIBAS_0100vwq0300ra,52.414009999999998,4.864260000000000,North
RWS01_MONIBAS_0100vwq0301ra,52.414569999999998,4.864810000000000,North
RWS01_MONIBAS_0100vwq0302ra,52.415370000000003,4.865580000000000,North
RWS01_MONIBAS_0100vwq0303ra,52.416130000000003,4.866310000000000,North
RWS01_MONIBAS_0100vwq0307ra,52.419029999999999,4.869130000000000,North
RWS01_MONIBAS_0100vwq0308ra,52.420029999999997,4.870220000000000,North
RWS01_MONIBAS_0100vwr0155ra,52.329079999999998,4.917670000000000,South
RWS01_MONIBAS_0100vws0163ra,52.328330000000001,4.907030000000000,South
RWS01_MONIBAS_0100vws0166ra,52.330269999999999,4.902810000000000,South
RWS01_MONIBAS_0100vws0206ra,52.338999999999999,4.830840000000000,West
RWS01_MONIBAS_0100vws0212ra,52.339280000000002,4.839060000000000,West
RWS01_MONIBAS_0100vws0312ra,52.426490000000001,4.874580000000000,North
RWS01_MONIBAS_0100vws0319ra,52.425049999999999,4.885100000000000,North
RWS01_MONIBAS_0100vws0322ra,52.425269999999998,4.889550000000000,North
RWS01_MONIBAS_0100vwt0113ra,52.352980000000002,4.963920000000000,East
RWS01_MONIBAS_0100vwt0115ra,52.351179999999999,4.961660000000000,East
RWS01_MONIBAS_0100vwt0119ra,52.349359999999997,4.964850000000000,East
RWS01_MONIBAS_0100vwt0155ra,52.329009999999997,4.917680000000000,South
RWS01_MONIBAS_0100vwt0158ra,52.329360000000001,4.913410000000000,South
RWS01_MONIBAS_0101hrl0013ra,52.422080000000001,4.904770000000000,North
RWS01_MONIBAS_0101hrl0017ra,52.419680000000000,4.909990000000000,North
RWS01_MONIBAS_0101hrl0022ra,52.417569999999998,4.915370000000000,North
RWS01_MONIBAS_0101hrl0027ra,52.414859999999997,4.921980000000000,North
RWS01_MONIBAS_0101hrl0033ra,52.411529999999999,4.928820000000000,North
RWS01_MONIBAS_0101hrl0037ra,52.409550000000003,4.932800000000000,North
RWS01_MONIBAS_0101hrl0042ra,52.407429999999998,4.939250000000000,North
RWS01_MONIBAS_0101hrl0047ra,52.405050000000003,4.946900000000000,North
RWS01_MONIBAS_0101hrl0050ra,52.403829999999999,4.949820000000000,North
RWS01_MONIBAS_0101hrl0056ra,52.400170000000003,4.956580000000000,North
RWS01_MONIBAS_0101hrl0062ra,52.395879999999998,4.961900000000000,East
RWS01_MONIBAS_0101hrl0067ra,52.392229999999998,4.965100000000000,East
RWS01_MONIBAS_0101hrl0071ra,52.389029999999998,4.967800000000000,East
RWS01_MONIBAS_0101hrl0074ra,52.386139999999997,4.970190000000000,East
RWS01_MONIBAS_0101hrl0077ra,52.383640000000000,4.971880000000000,East
RWS01_MONIBAS_0101hrl0080ra,52.381300000000003,4.973050000000000,East
RWS01_MONIBAS_0101hrl0085ra,52.377119999999998,4.974100000000000,East
RWS01_MONIBAS_0101hrl0087ra,52.375320000000002,4.974210000000000,East
RWS01_MONIBAS_0101hrl0088ra,52.373600000000003,4.974190000000000,East
RWS01_MONIBAS_0101hrl0090ra,52.372439999999997,4.974010000000000,East
RWS01_MONIBAS_0101hrl0092ra,52.370829999999998,4.973580000000000,East
RWS01_MONIBAS_0101hrl0094ra,52.369050000000001,4.973050000000000,East
RWS01_MONIBAS_0101hrl0097ra,52.365780000000001,4.971420000000000,East
RWS01_MONIBAS_0101hrl0101ra,52.362870000000001,4.969860000000000,East
RWS01_MONIBAS_0101hrl0105ra,52.359409999999997,4.967930000000000,East
RWS01_MONIBAS_0101hrl0109ra,52.356299999999997,4.966150000000000,East
RWS01_MONIBAS_0101hrl0112ra,52.353340000000003,4.964430000000000,East
RWS01_MONIBAS_0101hrl0115ra,52.350960000000001,4.962730000000000,East
RWS01_MONIBAS_0101hrl0120ra,52.346679999999999,4.958650000000000,East
RWS01_MONIBAS_0101hrl0124ra,52.343660000000000,4.955760000000000,East
RWS01_MONIBAS_0101hrl0129ra,52.339860000000002,4.951440000000000,East
RWS01_MONIBAS_0101hrl0131ra,52.338970000000003,4.949510000000000,East
RWS01_MONIBAS_0101hrl0135ra,52.337539999999997,4.944310000000000,South
RWS01_MONIBAS_0101hrl0138ra,52.336179999999999,4.939660000000000,South
RWS01_MONIBAS_0101hrl0140ra,52.335540000000002,4.938100000000000,South
RWS01_MONIBAS_0101hrl0144ra,52.333730000000003,4.933100000000000,South
RWS01_MONIBAS_0101hrl0147ra,52.332189999999997,4.928530000000000,South
RWS01_MONIBAS_0101hrl0151ra,52.330340000000000,4.923230000000000,South
RWS01_MONIBAS_0101hrl0155ra,52.328820000000000,4.918240000000000,South
RWS01_MONIBAS_0101hrl0160ra,52.328470000000003,4.910790000000000,South
RWS01_MONIBAS_0101hrl0166ra,52.330289999999998,4.902860000000000,South
RWS01_MONIBAS_0101hrl0170ra,52.332210000000003,4.898900000000000,South
RWS01_MONIBAS_0101hrl0175ra,52.335349999999998,4.892470000000000,South
RWS01_MONIBAS_0101hrl0181ra,52.338059999999999,4.886180000000000,South
RWS01_MONIBAS_0101hrl0186ra,52.338590000000003,4.877770000000000,South
RWS01_MONIBAS_0101hrl0191ra,52.338439999999999,4.871250000000000,South
