Sensor Locations,Lat,Long
ABM01_A10_HRL_CP_S102,52.424886,4.894044
ABM01__A10_LiafrS112_S112NZ_ZO,52.334974,4.936718
ABM01__TF_S108_ingaand,52.337799,4.859481
ABM01__TF_S108_uitgaand,52.336935,4.868636
ABM01__TF_S109_ingaand,52.333281,4.898738
ABM01__TF_S109_uitgaand,52.33823,4.876483
ABM01_A10_knpNM_ReafrS107,52.337944,4.845133
ABM01_A10_LIafrA10_ReafrS113,52.348443,4.970851
ABM01_A10_LiafrS102_LitoeS103,52.395686,4.844055
ABM01_A10_LiafrS107_A4reS107,52.348475,4.841233
ABM01_A10_LiafrS107_LiafrS108,52.348571,4.841271
ABM01_A10_LiafrS107_Riekerpolder,52.348308,4.841036
ABM01_A10_LiafrS108_LiafrS109,52.337754,4.857303
ABM01_A10_LiafrS108_ZAErnst,52.337752,4.857274
ABM01_A10_LiafrS108_ZAMahler,52.337755,4.857333
ABM01_A10_LiafrS108_ZAStrawinskyl,52.337754,4.857318
ABM01_A10_LiafrS109_LiafrS122,52.336026,4.891131
ABM01_A10_LiafrS109_ZAErnst,52.336108,4.890966
ABM01_A10_LiafrS112_GWEG_in,52.334993,4.936768
ABM01_A10_LitoeS103_LiafrS106,52.379946,4.844586
ABM01_A10_LitoeS108_LiafrS109,52.337042,4.857712
ABM01_A10_litoeS116_knpt_CP,52.408544,4.935426
ABM01_A10_PC1086_RetoeS114,52.362748,4.979926
ABM01_A10_re_toeS116_afrS114,52.405268,4.945817
ABM01_A10_ReafrS108_A2_ReafrS107,52.33917,4.867221
ABM01_A10_ReafrS108_ZAErnst,52.339178,4.867412
ABM01_A10_ReafrS109_ReafrS108,52.33377,4.897818
ABM01_A10_ReafrS109_ZAMahler,52.333769,4.897818
ABM01_A10_ReafrS112_Entree,52.337368,4.942773
ABM01_A10_ReafrS112_GooisewZN,52.337419,4.942957
ABM01_A10_ReafrS112_S112NZ_ZO,52.337458,4.943132
ABM01_A10_ReafrS113_ReafrS112,52.342589,4.95444
ABM01_A10_ReafrS114_PC1086,52.367789,4.97224
ABM01_A10_ReafrS116_S116NZ,52.410009,4.931409
ABM01_A10_reafrS116_toeS116,52.410061,4.931307
ABM01_A10_RetoeS108_knpNM,52.339088,4.858129
ABM01_A10_RetoeS109_ReafrS108,52.337579,4.891297
ABM01_A10_RetoeS112_ReafrS109,52.335359,4.93707
ABM01_A10_RetoeS114_ReafrS113,52.363069,4.969705
ABM01_A10_S106WO_LitoeS106,52.357869,4.841082
ABM01_A10li_LiafrS106_LitoeS106,52.36199,4.842255
ABM01_A10li_LitoeS106_LiafrS107,52.354031,4.84249
ABM01_A2_LIafrA9_AMC,52.279773,4.953442
ABM01_A2_LIafrN522_Bijlmerdreef,52.308204,4.928039
ABM01_A2_LIafrN522_Entree,52.308181,4.928062
ABM01_A2_reafrN522_Bijlmerdreef,52.312222,4.923431
ABM01_A2_reafrN522_Entree,52.312281,4.92337
ABM01_A4_LiafrSloten_LiknptNM,52.333926,4.805059
ABM01_A4_LiafrSloten_Riekerpolder,52.334072,4.805298
ABM01_A4_LiBHD_LiafrSloten,52.324701,4.774874
ABM01_A4_LiknptNM_LiafrS108,52.338222,4.829433
ABM01_A8_afrLiOostz_LiafrS102,52.437503,4.861497
ABM01_A8_afrLiOostz_ReafrS116,52.43748,4.861522
